#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTAchildhood.22;My guardian says this will be important to me later on.;;;;;;;;;;;;;x
EVTDESCchildhood.23;Recently, I’ve taken my ward with me when I travelled around the country, visiting different villages, castles, and cities. I constantly explain to my ward how people trade, what sort of crops we grow on the land, and so on.;;;;;;;;;;;;;x
EVTOPTAchildhood.23;It’s important my ward learns these things.;;;;;;;;;;;;;x
EVTDESCchildhood.24;Adults can be so cruel and petty, always scheming against each other for one reason or another! That’s why my guardian takes time to explain to me what exactly they’re up to, so I won’t grow up to be naive.;;;;;;;;;;;;;x
EVTOPTAchildhood.24;I’ve learned a lot about intrigue.;;;;;;;;;;;;;x
EVTDESCchildhood.25;My ward isn’t usually involved in court intrigue, so I fear that the child might grow to be too naive. Thus, whenever some of the other courtiers engage in suspicious activities or gossip, I always make sure to explain their true intentions and schemes to my ward.;;;;;;;;;;;;;x
EVTOPTAchildhood.25;I do so away from the others, of course.;;;;;;;;;;;;;x
EVTDESCchildhood.26;My guardian is very demanding. [Root.Guardian.GetSheHe] always wants me to read these books or scrolls about boring stuff like "natural philosophy" even though I want to do other things like play with my friends. ;;;;;;;;;;;;;x
EVTOPTAchildhood.26;Though I will admit some of it is really interesting…;;;;;;;;;;;;;x
EVTDESCchildhood.27;I think it’s important that my ward gain a better understanding of the arts and sciences. A well-rounded person will always do better, after all, so the child is made to read texts on subjects ranging from natural philosophy to history and theology.;;;;;;;;;;;;;x
EVTOPTAchildhood.27;Not that I expect the child to understand it all…;;;;;;;;;;;;;x
EVTDESCchildhood.30;You have seen [Root.Guardian.GetTitledFirstName] practising with sword and [Root.Guardian.GetSheHe] is really good. Maybe I could ask to learn from [Root.Guardian.GetHerHim].;;;;;;;;;;;;;x
EVTOPTAchildhood.30;'Stick 'em with the pointy end!', got it.;;;;;;;;;;;;;x
EVTDESCchildhood.31;You have learned how to hold and how to stick things with pointy end of sword from [Root.Guardian.GetTitledFirstName]. Maybe [Root.Guardian.GetSheHe] could teach teach you something more.;;;;;;;;;;;;;x
EVTOPTAchildhood.31;Okay, 'it's not only about hitting things, but also about no getting hit yourself'.;;;;;;;;;;;;;x
EVTDESCchildhood.32;You are quite good with sword, better even then many adults. But you are far from [Root.Guardian.GetTitledFirstName] level. [Root.Guardian.GetSheHeCap] could still teach you more.;;;;;;;;;;;;;x
EVTOPTAchildhood.32;'So it's about timing your hits.';;;;;;;;;;;;;x
EVTDESCchildhood.33;Under my guidance, my young [GetFromRelation], [From.GetFirstName], is slowly mastering the art of swordsmanship.;Grâce à mes conseils, mon jeune [GetFromRelation], [From.GetFirstName], commence lentement à maîtriser l'art du combat à l'épée.;Under my guidance, my young [GetFromRelation], [From.GetFirstName], is slowly mastering the art of swordsmanship.;;Under my guidance, my young [GetFromRelation], [From.GetFirstName], is slowly mastering the art of swordsmanship.;;;;;;;;;x
EVTOPTAchildhood.33;[From.GetSheHe] could become as good as me with practice.;;;;;;;;;;;;;x
EVTDESCchildhood.200;You are old enough to finally receive proper education. Who knows where will you study - at court, or maybe from famous general or crafty merchant.;;;;;;;;;;;;;x
EVTOPTAchildhood.200;But it's not up to me to decide.;;;;;;;;;;;;;x
EVTDESCchildhood.201;My [GetFromRelation] [From.GetTitledFirstName] is old enough to receive proper education. I have to decide how will [From.GetSheHe] be educated.;;;;;;;;;;;;;x
EVTOPTAchildhood.201;[From.GetSheHeCap] will be stay at court.;;;;;;;;;;;;;x
EVTOPTBchildhood.201;[From.GetSheHeCap] will study from a merchant.;;;;;;;;;;;;;x
EVTOPTCchildhood.201;[From.GetSheHeCap] will be groomed for command.;;;;;;;;;;;;;x
EVTOPTDchildhood.201;I have nor time, nor money to spend on this child.;;;;;;;;;;;;;x
EVTTOOLTIPreeducation.202;[This.GetTitleFirstName] will decide if [This.GetSheHe] will pay for [From.GetTitledFirstName]'s education;;;;;;;;;;;;;x
EVTDESCchildhood.202;My Lord,\n[FromFrom.GetTitledFirstName] is old enough to get proper education, I sincerely hope You will be able to pay for it.\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;;;x
EVTOPTAchildhood.202;Of course I will pay;;;;;;;;;;;;x
EVTOPTBchildhood.202;No, I will not pay.;;;;;;;;;;;;;x
EVTDESCchildhood.203;[From.GetFullName] has agreed to pay for [FromFromFrom.GetTitledFirstName]'s education.;;;;;;;;;;;;;x
EVTOPTAchildhood.203;That's great.;;;;;;;;;;;;;x
EVTDESCchildhood.204;[From.GetFullName] has refused to pay for [FromFromFrom.GetTitledFirstName]'s education. It seems [FromFromFrom.GetSheHe] will have to do without it.;;;;;;;;;;;;;x
EVTOPTAchildhood.204;Cheap...;;;;;;;;;;;;;x
EVTDESCchildhood.210;You are to stay at court and receive education there.;;;;;;;;;;;;;x
EVTOPTAchildhood.210;Lots of boring, old men...;;;;;;;;;;;;;x
EVTDESCchildhood.211;You will learn from a wealthy local merchant.;;;;;;;;;;;;;x
EVTOPTAchildhood.211;Oh!;;;;;;;;;;;;;x
EVTDESCchildhood.212;You will be taught to become a great general;;;;;;;;;;;;;x
EVTOPTAchildhood.212;Like in stories?;;;;;;;;;;;;;x
EVTDESCchildhood.213;You will not receive any special education.;;;;;;;;;;;;;x
EVTOPTAchildhood.213;Why?;;;;;;;;;;;;;x
