#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
mage_duel_start;You have challenged someone to a magic duel
You have #3# Concentration Points Remaining;;;;;;;;;x
EVTDESCmageduel.10;You move to the defense phase
You have #2# Concentration Points Remaining;;;;;;;;;x
EVTDESCmageduel.11;You move to the defense phase
You have #1# Concentration Point Remaining;;;;;;;;;x
EVTDESCmageduel.12;Alzur's Thunder Hit;;;;;;;;;x
EVTOPTAmageduel.12;Hit Maimed;;;;;;;;;x
EVTOPTBmageduel.12;Hit Incapacitated;;;;;;;;;x
EVTOPTCmageduel.12;Hit Death;;;;;;;;;x
EVTDESCmageduel.13;You cast Alzur's Thunder, which the enemy fails to block. You watch as the burning sparks tear out a huge chunk of flesh from your enemy's body.;;;;;;;;;x
EVTOPTAmageduel.13;[enemy.GetTitledFirstName] is Maimed;;;;;;;;;x
EVTDESCmageduel.14;You cast Alzur's Thunder, which the enemy fails to block. The burning sparks rip your enemy's body to shreds leaving [enemy.GetHerHim] greately wounded;;;;;;;;;x
EVTOPTAmageduel.14;[enemy.GetTitledFirstName] is Incapacitated;;;;;;;;;;x
EVTDESCmageduel.15; This was the last spell cast, and all became quite as [enemy.GetTitledFirstName] fell before me defeated. It was a difficult battle but I have proven to be the better mage.;;;;;;;;;x
EVTOPTAmageduel.15;Victory is Mine;;;;;;;;;x
EVTDESCmageduel.16;You cast Alzur's Thunder, but your enemy manages to block your attack with [enemy.GetHerHis] powers leaving [enemy.GetHerHim] unharmed;;;;;;;;;x
EVTOPTAmageduel.16;[enemy.GetTitledFirstName] defends against your attack;;;;;;;;;;;x
EVTDESCmageduel.17;Magic Missile Hit;;;;;;;;;x
EVTOPTAmageduel.17;Hit Wounded;;;;;;;;;x
EVTOPTBmageduel.17;Hit Maimed;;;;;;;;;x
EVTOPTCmageduel.17;Hit Incapacitated;;;;;;;;;x
EVTOPTDmageduel.17;Hit Death;;;;;;;;;x
EVTDESCmageduel.18;You cast a Magic Missile at your enemy, which successfully strikes them dealing small damage.;;;;;;;;;x
EVTOPTAmageduel.18;[enemy.GetTitledFirstName] is Wounded;;;;;;;;;x
EVTDESCmageduel.19;You cast a Magic Missile at your enemy, which successfully strikes them dealing substantial damage.;;;;;;;;;x
EVTOPTAmageduel.19;[enemy.GetTitledFirstName] is Maimed;;;;;;;;;x
EVTDESCmageduel.20;You cast a Magic Missile at your enemy, which successfully strikes them dealing great damage.;;;;;;;;;x
EVTOPTAmageduel.20;[enemy.GetTitledFirstName] is Incapacitated;;;;;;;;;x
EVTDESCmageduel.21;You cast a Magic Missile at your enemy, who unable to fight any longer, falls down on impact. You watch how [enemy.GetTitledFirstName] rests defeated on the ground, with you towering over [enemy.GetHerHim] victorious.;;;;;;;;;x
EVTOPTAmageduel.21;The day is mine;;;;;;;;;x
EVTDESCmageduel.22;You cast a Magic Missile at your enemy but [enemy.GetSheHe] successfully blocks your attack;;;;;;;;;x
EVTOPTAmageduel.22;[enemy.GetTitledFirstName] defends against your attack;;;;;;;;;x
EVTDESCmageduel.23;You successfully cast a weak curse at your enemy.;;;;;;;;;x
EVTOPTAmageduel.23;[enemy.GetTitledFirstName] suffers small penalties to[enemy.GetHerHis] casting abilities;;;;;;;;;x
EVTDESCmageduel.24;You successfully cast a normal curse at your enemy.;;;;;;;;;x
EVTOPTAmageduel.24;[enemy.GetTitledFirstName] suffers medium penalties to[enemy.GetHerHis] casting abilities;;;;;;;;;x
EVTDESCmageduel.25;You successfully place a powerful curse upon your enemy;;;;;;;;;x
EVTOPTAmageduel.25;[enemy.GetTitledFirstName] suffers large penalties to [enemy.GetHerHis] casting abilities;;;;;;;;;x
EVTDESCmageduel.26;You try to curse your enemy but [enemy.GetSheHe] manages to dispell it before you can succeed.;;;;;;;;;x
EVTOPTAmageduel.26;You fail to curse [enemy.GetTitledFirstName];;;;;;;;;x
EVTDESCmageduel.27;You shoot a ray of colorful light at one of your wounds healing it in a matter of seconds.;;;;;;;;;x
EVTOPTAmageduel.27;[player.GetTitledFirstName] heals some of [player.GetHerHis] wounds;;;;;;;;;x
EVTDESCmageduel.28;You shoot a ray of colorful light at one of your wounds, unleashing by accident your hidden powers that expand the potency of your healing spell.;;;;;;;;;x
EVTOPTAmageduel.28;[player.GetTitledFirstName] casts a Greater Heal, losing many of [player.GetHerHis] afflictions;;;;;;;;;x
EVTDESCmageduel.29;You start to weave a powerful spell in front of you and in few moments a translucent force field appears before you to protect you from incoming damage.;;;;;;;;;x
EVTOPTAmageduel.29;This Shield should last for a while;;;;;;;;;x
EVTDESCmageduel.30;You try to weave a powerful protection spell but instead of the desired Magic Shield you create an inferior spell that quickly dissipates;;;;;;;;;x
EVTOPTAmageduel.30;You fail at casting a Magic Shield;;;;;;;;;x
EVTDESCmageduel.31;You save some of your energy to be released upon a successful hit by an enemy spell.;;;;;;;;;x
EVTOPTAmageduel.31;You gain Counter Magic;;;;;;;;;x
EVTDESCmageduel.32;You try to save some of your energy to work as a countering trap, but somehow your fail to maintain your concentration.;;;;;;;;;x
EVTOPTAmageduel.32;Your Counter Magic spell fails;;;;;;;;;x
EVTDESCmageduel.33;You concentrate trying to save some of your energy for later;;;;;;;;;x
EVTOPTAmageduel.33;I feel more concentrated;;;;;;;;;x
EVTDESCmageduel.34;You try to concentrate and try to save some of your energy for later, but fail.;;;;;;;;;x
EVTOPTAmageduel.34;I could not keep my concentration;;;;;;;;;x
EVTDESCmageduel.35;I thought it was an easy strike and was proud of the damage I caused to my enemy. But to my surprise a counter spell was released and struck me while I was unguarded.;;;;;;;;;x
EVTOPTAmageduel.35;Counter magic was used against me;;;;;;;;;x
EVTDESCmageduel.47;[enemy.GetTitledFirstName] successfully passed my defenses and struck me with a powerful Alzur's Thunder.;;;;;;;;;x
EVTOPTAmageduel.47;I was Maimed;;;;;;;;;x
EVTOPTBmageduel.47;I was Incapacitated;;;;;;;;;x
EVTOPTCmageduel.47;I lost the battle;;;;;;;;;x
EVTDESCmageduel.50;The Alzur's Thunder cast by [enemy.GetTitledFirstName] proven too strong to resist and wounded me beyond repair. The day is lost.;;;;;;;;;x
EVTOPTAmageduel.50;I have been defeated;;;;;;;;;x
EVTDESCmageduel.52;[enemy.GetTitledFirstName] cast a Magic Missile which managed to hit me dealing some damage.;;;;;;;;;x
EVTOPTAmageduel.52;The Missile wounded me;;;;;;;;;x
EVTOPTBmageduel.52;The Missile maimed me;;;;;;;;;x
EVTOPTCmageduel.52;The Missile incapacitated me;;;;;;;;;x
EVTOPTDmageduel.52;I am wounded too heavily to continue fighting;;;;;;;;;x
EVTDESCmageduel.56;The Magic Missile cast by [enemy.GetTitledFirstName] proven too powerful to deflect and cost me the battle leading to my defeat.;;;;;;;;;x
EVTOPTAmageduel.56;I have lost the battle;;;;;;;;;x
EVTDESCmageduel.71;The enemy tried [enemy.GetHerHis] best at striking me with Alzur's Thunder, but [enemy.GetSheHe] underestimated my defense abilities;;;;;;;;;x
EVTOPTAmageduel.71;Enemy's attack failed to deal any damage;;;;;;;;;x
EVTDESCmageduel.72;Finding the right opening I successfully countered [enemy.GetTitledFirstName]'s attack with a magic Missile;;;;;;;;;x
EVTOPTAmageduel.72;Counter Magic has been used;;;;;;;;;x
EVTDESCmageduel.73;The enemy tried to hit me with a Magic Missile but failed.;;;;;;;;;x
EVTOPTAmageduel.73;Magic Missile failed to hit me;;;;;;;;;x
EVTDESCmageduel.74;[enemy.GetTitledFirstName] cast healing on [enemy.GetHerselfHimself];;;;;;;;;x
EVTOPTAmageduel.74;[enemy.GetSheHe] healed [enemy.GetHerHis] wounds.;;;;;;;;;x
EVTDESCmageduel.75;[enemy.GetTitledFirstName] casts healing on [enemy.GetHerselfHimself] proving to be a skilled magician.;;;;;;;;;x
EVTOPTAmageduel.75;[enemy.GetTitledFirstName] casts Greater Heal;;;;;;;;;x
EVTDESCmageduel.76;[enemy.GetTitledFirstName] casts a Magic Shield on [enemy.GetHerselfHimself];;;;;;;;;x
EVTOPTAmageduel.76;Enemy gains Magic Shield;;;;;;;;;x
EVTDESCmageduel.77;[enemy.GetTitledFirstName] tried to cast a Magic Shield but failed.;;;;;;;;;x
EVTOPTAmageduel.77;Enemy fails at casting Magic Shield;;;;;;;;;x
EVTDESCmageduel.78;[enemy.GetTitledFirstName] protects [enemy.GetHerselfHimself] with Counter Magic;;;;;;;;;x
EVTOPTAmageduel.78;[enemy.GetTitledFirstName] gains Counter Magic;;;;;;;;;x
EVTDESCmageduel.79;[enemy.GetTitledFirstName] tried to protect [enemy.GetHerselfHimself] with Counter Magic, but failed.;;;;;;;;;x
EVTOPTAmageduel.79;[enemy.GetTitledFirstName] fails at casting Counter Magic;;;;;;;;;x
EVTDESCmageduel.80;[enemy.GetTitledFirstName] casts Energy Flow ;;;;;;;;;x
EVTOPTAmageduel.80;[enemy.GetTitledFirstName] saves one point of [enemy.GetHerHis] concentration for later;;;;;;;;;x
EVTDESCmageduel.81;[enemy.GetTitledFirstName] tries to cast Energy Flow;;;;;;;;;x
EVTOPTAmageduel.81;[enemy.GetTitledFirstName] fails to keep one point of concentration for later;;;;;;;;;x
EVTDESCmageduel.82;[enemy.GetTitledFirstName] successfully places a weak curse upon me.;;;;;;;;;x
EVTOPTAmageduel.82;I have been cursed;;;;;;;;;x
EVTDESCmageduel.83;[enemy.GetTitledFirstName] successfully places a normal curse upon me;;;;;;;;;x
EVTOPTAmageduel.83;I have been cursed;;;;;;;;;x
EVTDESCmageduel.84;[enemy.GetTitledFirstName] successfully places a strong curse upon me.;;;;;;;;;x
EVTOPTAmageduel.84;I have been cursed;;;;;;;;;x
EVTDESCmageduel.85;Even though [enemy.GetSheHe] tried hard [enemy.GetTitledFirstName] failed to place a curse upon me;;;;;;;;;x
EVTOPTAmageduel.85;I have deflected [enemy.GetHerHis] curse.;;;;;;;;;x
TOOLTIPconcentration_phase;The number of concentration points you gain depends on your learning skill.\nThe points are used during battle to cast spells;;;;;;;;;x
TOOLTIPalzurs_thunder;The famous Alzur's Thunder is known for its potency, but also for its difficulty of casting\nDamage: 2 HP\nSuccess Chance: Low;;;;;;;;;x
TOOLTIPmagic_missle;The basic offensive spell of each sorcerer, easy to cast but deals small damage\nDamage: 1 HP\nSuccess Chance: Medium;;;;;;;;;x
TOOLTIPcurse;A tricky spell that has 75% chance of placing upon your enemy a curse of random potency, with 25% chance of failure. Each curse lowers enemy's casting success chance proportionally to its power;;;;;;;;;x
TOOLTIPskip;Skip the battle phase and move directly to the defense phase without losing any concentration points on the way;;;;;;;;;x
TOOLTIPhealing;An easy spell that requires a lot of concentration to perform. Adds 1 HP and lowers any curse by one level. There exists a low chance of performing a Greater Heal which heals 2 HP and removes all curses regardless of their potency.\nHeals: 1-2 HP\nDuration: Immediate\nSuccessChance: Very High;;;;;;;;;x
TOOLTIPmagic_shield;Cast a protection lasting one turn that significantly reduces your enemy's chance at dealing you any damage.\nDuration: One Turn\nSuccess Chance: High;;;;;;;;;x
TOOLTIPcounter_magic;Cast a magic trap that has 33% chance of being activated by an enemy attack. On success it casts a magic Missile dealing 1 HP damage to your enemy.\nDuration: Until Triggered\nSuccess Chance: High;;;;;;;;;x
TOOLTIPenergy_flow;Saves one point of concentration that will be added to your CP next turn.\nDuration: One Turn\nSuccess Chance: Very High;;;;;;;;;x
